beta,test/Accuracy,test/KL,test/Log Prob,test/loss,train/Log Prob,train/epoch
0.01,0.0,921.0422058105469,1154.1919311523438,2075.2341552734374,1181.9655726841518,0
0.01,0.00234375,1257.0659790039062,1128.3467529296875,2385.412744140625,1146.5667288643974,1
0.01,0.003125,1779.9007080078125,1108.4372680664062,2888.3380126953125,1129.1365827287946,2
0.01,0.00859375,2200.64443359375,1087.338623046875,3287.9830078125,1113.3718470982142,3
0.01,0.021875,2736.3043212890625,1066.1830444335938,3802.4873046875,1097.4870012555803,4
0.01,0.02265625,3024.8568603515623,1051.115869140625,4075.9726806640624,1082.7379534040178,5
0.01,0.034375,3348.2283203125,1037.9156982421875,4386.143994140625,1072.310750906808,6
0.01,0.0421875,3573.88369140625,1026.1308837890624,4600.01455078125,1062.2014456612724,7
0.01,0.05234375,4014.953955078125,1012.026123046875,5026.980078125,1052.759995814732,8
0.01,0.0609375,4312.16064453125,1004.9035461425781,5317.06416015625,1042.918879045759,9
0.01,0.07890625,4355.3947265625,995.7221374511719,5351.116845703125,1036.4674464634486,10
0.01,0.0890625,4594.171484375,987.0771789550781,5581.248681640625,1029.1624590192523,11
0.01,0.1046875,4855.086767578125,975.2758422851563,5830.36259765625,1021.323779296875,12
0.01,0.128125,5082.707373046875,962.1524780273437,6044.85986328125,1013.6254342215402,13
0.01,0.1375,5241.198876953125,950.038427734375,6191.237353515625,1006.017231968471,14
0.01,0.19765625,5685.10517578125,935.7181030273438,6620.8232421875,995.7851309640067,15
0.01,0.3265625,6203.362744140625,907.6669006347656,7111.029638671875,980.819575718471,16
0.01,0.38515625,6765.29130859375,889.8156677246094,7655.107080078125,964.8540100097656,17
0.01,0.52578125,7286.67197265625,868.0208190917969,8154.6927734375,949.0637407575335,18
0.01,0.6359375,7797.146728515625,849.6324829101562,8646.77900390625,933.2063703264508,19
0.01,0.72734375,7814.0892578125,835.5259826660156,8649.61513671875,922.3561558314732,20
0.01,0.7546875,7987.9341796875,826.7815612792969,8814.7158203125,910.3929452078683,21
0.01,0.86171875,8069.2203125,813.1864685058594,8882.4068359375,898.6437194824218,22
0.01,0.92890625,8378.244921875,800.5386535644532,9178.78359375,889.9717712402344,23
0.01,0.92578125,8277.048583984375,796.9325378417968,9073.98115234375,881.7160034179688,24
0.01,0.94921875,8216.44736328125,790.4595458984375,9006.90693359375,875.8675554547991,25
0.01,0.94765625,8177.7142578125,787.322021484375,8965.036328125,871.2439313616071,26
0.01,0.9265625,7976.37890625,786.683349609375,8763.06240234375,867.0289367675781,27
0.01,0.9640625,7953.970654296875,781.8847229003907,8735.85537109375,864.1258065359933,28
0.01,0.96953125,7947.526123046875,779.0628723144531,8726.58916015625,860.4113385881697,29
0.01,0.96328125,7845.33037109375,776.9326110839844,8622.26298828125,858.6243390764508,30
0.01,0.95703125,7682.910009765625,778.0207580566406,8460.9306640625,855.2216387067523,31
0.01,0.95859375,7689.39189453125,776.2115966796875,8465.60361328125,853.7643772670201,32
0.01,0.95546875,7657.96357421875,774.4476806640625,8432.411328125,851.5543552943639,33
0.01,0.97109375,7671.913330078125,771.6005676269531,8443.51396484375,849.5299438476562,34
0.01,0.95546875,7552.335791015625,772.4421447753906,8324.7779296875,847.724791608538,35
0.01,0.97109375,7573.825048828125,770.6367492675781,8344.4619140625,846.7085824148995,36
0.01,0.96875,7330.908349609375,770.8104125976563,8101.718798828125,844.6716395786831,37
0.01,0.9671875,7307.187451171875,769.7362731933594,8076.92373046875,843.4983075823103,38
0.01,0.96640625,7246.625146484375,769.5251342773438,8016.15029296875,842.7719778878349,39
0.01,0.9765625,7309.524609375,766.9829711914062,8076.507568359375,841.6940272739955,40
0.01,0.96796875,7224.199072265625,766.8886108398438,7991.08759765625,840.1047023228236,41
0.01,0.9703125,7308.653662109375,766.4201904296875,8075.073876953125,839.3389125279018,42
0.01,0.9625,7012.838623046875,766.4286499023438,7779.267333984375,837.6975088936942,43
0.01,0.96484375,7020.194091796875,767.0811218261719,7787.275244140625,837.1141418457031,44
0.01,0.96640625,6944.1654296875,766.3169311523437,7710.482421875,836.5766985212053,45
0.01,0.9734375,6882.341064453125,765.8328796386719,7648.17392578125,835.4782653808594,46
0.01,0.98359375,6988.787646484375,763.8163513183594,7752.60400390625,834.6014910016742,47
0.01,0.96796875,6756.3951171875,765.2298889160156,7521.624951171875,833.4531895228795,48
0.01,0.97734375,6862.6142578125,763.8384887695313,7626.452783203125,832.4962777273995,49
